study_word	study_cue	word	cue	practice_word	practice_cue	test_word	test_luminance_cue	test_condition	Key_Pressed	Key_Press_Time	Word_on_Time	Response_Time	study_instruction
IRONY	Exes.png	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	RADAR	New	new	'	-1	-1	-1	silent
PROSE	Exes.png	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	RADAR	New	new	'	-1	-1	-1	silent
FRUIT	Exes.png	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	RADAR	New	new	'	-1	-1	-1	silent
QUOTE	Check.png	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	RADAR	New	new	'	-1	-1	-1	check
NARROW	Check.png	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	RADAR	New	new	'	-1	-1	-1	check
RAIL	Plus.png	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	RADAR	New	new	'	-1	-1	-1	prod
NATION	Check.png	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	RADAR	New	new	'	-1	-1	-1	check
QUIET	Check.png	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	RADAR	New	new	'	-1	-1	-1	check
URGENCY	Plus.png	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	RADAR	New	new	'	-1	-1	-1	prod
GIANT	Check.png	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	RADAR	New	new	'	-1	-1	-1	check
GRADE	Exes.png	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	RADAR	New	new	'	-1	-1	-1	silent
WRONG	Check.png	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	RADAR	New	new	'	-1	-1	-1	check
DEAN	Exes.png	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	RADAR	New	new	'	-1	-1	-1	silent
LACK	Check.png	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	RADAR	New	new	'	-1	-1	-1	check
ELEVATOR	Plus.png	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	RADAR	New	new	'	-1	-1	-1	prod
NERVE	Plus.png	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	RADAR	New	new	'	-1	-1	-1	prod
LATIN	Exes.png	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	RADAR	New	new	'	-1	-1	-1	silent
GROUND	Check.png	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	RADAR	New	new	'	-1	-1	-1	check
CANDY	Exes.png	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	RADAR	New	new	'	-1	-1	-1	silent
INTERVAL	Plus.png	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	RADAR	New	new	'	-1	-1	-1	prod
CREST	Check.png	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	RADAR	New	new	'	-1	-1	-1	check
JURY	Plus.png	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	RADAR	New	new	'	-1	-1	-1	prod
GATHER	Check.png	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	RADAR	New	new	'	-1	-1	-1	check
CUSTOMER	Check.png	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	RADAR	New	new	'	-1	-1	-1	check
MUSCLE	Check.png	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	RADAR	New	new	'	-1	-1	-1	check
NECK	Check.png	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	RADAR	New	new	'	-1	-1	-1	check
CURRENT	Plus.png	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	RADAR	New	new	'	-1	-1	-1	prod
ZERO	Check.png	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	RADAR	New	new	'	-1	-1	-1	check
MYSTERY	Exes.png	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	RADAR	New	new	'	-1	-1	-1	silent
EQUAL	Plus.png	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	RADAR	New	new	'	-1	-1	-1	prod
ANIMAL	Exes.png	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	RADAR	New	new	'	-1	-1	-1	silent
DEFEAT	Exes.png	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	RADAR	New	new	'	-1	-1	-1	silent
YARN	Plus.png	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	RADAR	New	new	'	-1	-1	-1	prod
