study_word	study_cue	study_instruction	word	cue	practice_word	practice_cue	test_word	test_luminance_cue	test_condition	Key_Pressed	Key_Press_Time	Word_on_Time	Response_Time
JURY	Exes.png	silent	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	RAIL	Exes.png	silent	'	-1	-1	-1
KINGDOM	Plus.png	prod	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	RAIL	Exes.png	silent	'	-1	-1	-1
IRONY	Check.png	check	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	RAIL	Exes.png	silent	'	-1	-1	-1
RADAR	Plus.png	prod	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	RAIL	Exes.png	silent	'	-1	-1	-1
KISS	Plus.png	prod	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	RAIL	Exes.png	silent	'	-1	-1	-1
ABSTRACT	Exes.png	silent	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	RAIL	Exes.png	silent	'	-1	-1	-1
PART	Plus.png	prod	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	RAIL	Exes.png	silent	'	-1	-1	-1
GRAB	Plus.png	prod	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	RAIL	Exes.png	silent	'	-1	-1	-1
ONSET	Plus.png	prod	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	RAIL	Exes.png	silent	'	-1	-1	-1
OPERA	Check.png	check	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	RAIL	Exes.png	silent	'	-1	-1	-1
GRAPH	Plus.png	prod	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	RAIL	Exes.png	silent	'	-1	-1	-1
TANK	Plus.png	prod	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	RAIL	Exes.png	silent	'	-1	-1	-1
CURRENCY	Exes.png	silent	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	RAIL	Exes.png	silent	'	-1	-1	-1
QUESTION	Check.png	check	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	RAIL	Exes.png	silent	'	-1	-1	-1
ANIMAL	Check.png	check	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	RAIL	Exes.png	silent	'	-1	-1	-1
ELEVATOR	Exes.png	silent	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	RAIL	Exes.png	silent	'	-1	-1	-1
ORDER	Exes.png	silent	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	RAIL	Exes.png	silent	'	-1	-1	-1
LAWYER	Plus.png	prod	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	RAIL	Exes.png	silent	'	-1	-1	-1
GHOST	Check.png	check	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	RAIL	Exes.png	silent	'	-1	-1	-1
MYSTERY	Check.png	check	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	RAIL	Exes.png	silent	'	-1	-1	-1
ADDITION	Check.png	check	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	RAIL	Exes.png	silent	'	-1	-1	-1
HARVEST	Check.png	check	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	RAIL	Exes.png	silent	'	-1	-1	-1
PASSIVE	Plus.png	prod	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	RAIL	Exes.png	silent	'	-1	-1	-1
SYMPHONY	Plus.png	prod	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	RAIL	Exes.png	silent	'	-1	-1	-1
URGENCY	Exes.png	silent	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	RAIL	Exes.png	silent	'	-1	-1	-1
TAIL	Check.png	check	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	RAIL	Exes.png	silent	'	-1	-1	-1
DICE	Exes.png	silent	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	RAIL	Exes.png	silent	'	-1	-1	-1
HAIL	Plus.png	prod	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	RAIL	Exes.png	silent	'	-1	-1	-1
QUALITY	Check.png	check	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	RAIL	Exes.png	silent	'	-1	-1	-1
