study_word	study_cue	study_instruction	word	cue	practice_word	practice_cue	test_word	test_luminance_cue	test_condition	Key_Pressed	Key_Press_Time	Word_on_Time	Response_Time
KNIGHT	Exes.png	silent	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	JUDGE	New	new	'	-1	-1	-1
GENIUS	Check.png	check	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	JUDGE	New	new	'	-1	-1	-1
GATE	Plus.png	prod	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	JUDGE	New	new	'	-1	-1	-1
NOISE	Plus.png	prod	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	JUDGE	New	new	'	-1	-1	-1
ELITE	Check.png	check	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	JUDGE	New	new	'	-1	-1	-1
GATHER	Exes.png	silent	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	JUDGE	New	new	'	-1	-1	-1
ZERO	Exes.png	silent	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	JUDGE	New	new	'	-1	-1	-1
GENERAL	Exes.png	silent	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	JUDGE	New	new	'	-1	-1	-1
VENT	Plus.png	prod	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	JUDGE	New	new	'	-1	-1	-1
JUMP	Plus.png	prod	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	JUDGE	New	new	'	-1	-1	-1
GHOST	Plus.png	prod	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	JUDGE	New	new	'	-1	-1	-1
ABANDON	Check.png	check	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	JUDGE	New	new	'	-1	-1	-1
IRONY	Plus.png	prod	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	JUDGE	New	new	'	-1	-1	-1
CANDY	Plus.png	prod	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	JUDGE	New	new	'	-1	-1	-1
PROSE	Plus.png	prod	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	JUDGE	New	new	'	-1	-1	-1
HAIR	Check.png	check	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	JUDGE	New	new	'	-1	-1	-1
USAGE	Plus.png	prod	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	JUDGE	New	new	'	-1	-1	-1
GOSPEL	Check.png	check	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	JUDGE	New	new	'	-1	-1	-1
EDITION	Exes.png	silent	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	JUDGE	New	new	'	-1	-1	-1
ELBOW	Check.png	check	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	JUDGE	New	new	'	-1	-1	-1
PARK	Check.png	check	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	JUDGE	New	new	'	-1	-1	-1
QUALITY	Plus.png	prod	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	JUDGE	New	new	'	-1	-1	-1
VACUUM	Check.png	check	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	JUDGE	New	new	'	-1	-1	-1
PASTE	Check.png	check	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	JUDGE	New	new	'	-1	-1	-1
NECK	Exes.png	silent	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	JUDGE	New	new	'	-1	-1	-1
CUSTOMER	Exes.png	silent	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	JUDGE	New	new	'	-1	-1	-1
DEFEAT	Plus.png	prod	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	JUDGE	New	new	'	-1	-1	-1
MUSCLE	Exes.png	silent	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	JUDGE	New	new	'	-1	-1	-1
QUESTION	Plus.png	prod	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	JUDGE	New	new	'	-1	-1	-1
FRUIT	Plus.png	prod	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	JUDGE	New	new	'	-1	-1	-1
DEPTH	Check.png	check	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	JUDGE	New	new	'	-1	-1	-1
RAID	Exes.png	silent	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	JUDGE	New	new	'	-1	-1	-1
ZINC	Plus.png	prod	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	JUDGE	New	new	'	-1	-1	-1
ITEM	Check.png	check	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	JUDGE	New	new	'	-1	-1	-1
ANIMAL	Plus.png	prod	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	JUDGE	New	new	'	-1	-1	-1
OCEAN	Check.png	check	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	JUDGE	New	new	'	-1	-1	-1
NAME	Plus.png	prod	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	JUDGE	New	new	'	-1	-1	-1
DEAN	Plus.png	prod	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	JUDGE	New	new	'	-1	-1	-1
JOURNAL	Check.png	check	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	JUDGE	New	new	'	-1	-1	-1
DECADE	Check.png	check	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	JUDGE	New	new	'	-1	-1	-1
GUEST	Check.png	check	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	JUDGE	New	new	'	-1	-1	-1
TALENT	Exes.png	silent	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	JUDGE	New	new	'	-1	-1	-1
ADVICE	Check.png	check	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	JUDGE	New	new	'	-1	-1	-1
VEHICLE	Check.png	check	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	JUDGE	New	new	'	-1	-1	-1
INCOME	Exes.png	silent	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	JUDGE	New	new	'	-1	-1	-1
LABEL	Plus.png	prod	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	JUDGE	New	new	'	-1	-1	-1
WRITING	Plus.png	prod	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	JUDGE	New	new	'	-1	-1	-1
LAMP	Exes.png	silent	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	JUDGE	New	new	'	-1	-1	-1
SWIFT	Exes.png	silent	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	JUDGE	New	new	'	-1	-1	-1
NEUTRAL	Check.png	check	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	JUDGE	New	new	'	-1	-1	-1
FRONT	Plus.png	prod	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	JUDGE	New	new	'	-1	-1	-1
MORAL	Exes.png	silent	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	JUDGE	New	new	'	-1	-1	-1
SYSTEM	Check.png	check	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	JUDGE	New	new	'	-1	-1	-1
DELAY	Plus.png	prod	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	JUDGE	New	new	'	-1	-1	-1
GRADE	Plus.png	prod	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	JUDGE	New	new	'	-1	-1	-1
INPUT	Check.png	check	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	JUDGE	New	new	'	-1	-1	-1
MYSTERY	Plus.png	prod	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	JUDGE	New	new	'	-1	-1	-1
TAIL	Plus.png	prod	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	JUDGE	New	new	'	-1	-1	-1
OPINION	Plus.png	prod	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	JUDGE	New	new	'	-1	-1	-1
LENS	Exes.png	silent	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	JUDGE	New	new	'	-1	-1	-1
ONION	Check.png	check	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	JUDGE	New	new	'	-1	-1	-1
DEAR	Exes.png	silent	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	JUDGE	New	new	'	-1	-1	-1
ECONOMY	Check.png	check	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	JUDGE	New	new	'	-1	-1	-1
DENTAL	Check.png	check	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	JUDGE	New	new	'	-1	-1	-1
INFANT	Exes.png	silent	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	JUDGE	New	new	'	-1	-1	-1
CASH	Plus.png	prod	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	JUDGE	New	new	'	-1	-1	-1
JOINT	Exes.png	silent	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	JUDGE	New	new	'	-1	-1	-1
JAZZ	Check.png	check	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	JUDGE	New	new	'	-1	-1	-1
LACK	Exes.png	silent	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	JUDGE	New	new	'	-1	-1	-1
MOUTH	Check.png	check	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	JUDGE	New	new	'	-1	-1	-1
DETAIL	Plus.png	prod	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	JUDGE	New	new	'	-1	-1	-1
DESIGN	Exes.png	silent	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	JUDGE	New	new	'	-1	-1	-1
ACADEMY	Exes.png	silent	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	JUDGE	New	new	'	-1	-1	-1
WOOD	Check.png	check	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	JUDGE	New	new	'	-1	-1	-1
FUND	Check.png	check	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	JUDGE	New	new	'	-1	-1	-1
AMOUNT	Plus.png	prod	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	JUDGE	New	new	'	-1	-1	-1
ZONE	Exes.png	silent	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	JUDGE	New	new	'	-1	-1	-1
NARROW	Exes.png	silent	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	JUDGE	New	new	'	-1	-1	-1
