study_word	study_cue	word	cue	practice_word	practice_cue	test_word	test_luminance_cue	test_condition	Key_Pressed	Key_Press_Time	Word_on_Time	Response_Time	study_instruction
JUDGE	Plus.png	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	ONION	New	new	'	-1	-1	-1	prod
URGENCY	Plus.png	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	ONION	New	new	'	-1	-1	-1	prod
WRITING	Exes.png	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	ONION	New	new	'	-1	-1	-1	silent
ACID	Plus.png	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	ONION	New	new	'	-1	-1	-1	prod
LAUNCH	Check.png	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	ONION	New	new	'	-1	-1	-1	check
DICE	Plus.png	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	ONION	New	new	'	-1	-1	-1	prod
TAIL	Exes.png	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	ONION	New	new	'	-1	-1	-1	silent
CANDY	Exes.png	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	ONION	New	new	'	-1	-1	-1	silent
ORDER	Plus.png	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	ONION	New	new	'	-1	-1	-1	prod
GAIN	Plus.png	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	ONION	New	new	'	-1	-1	-1	prod
USAGE	Exes.png	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	ONION	New	new	'	-1	-1	-1	silent
NECK	Check.png	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	ONION	New	new	'	-1	-1	-1	check
EDGE	Check.png	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	ONION	New	new	'	-1	-1	-1	check
